i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1997652,1997,,2,6,1,2,0,0,1,1,3,1,2,0,0,0,0,1,1,1,2.397895273
1997653,1997,,1,1,1,2,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1.609437912
1997656,1997,,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1.386294361
1997657,1997,,1,1,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1.386294361
1997658,1997,,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.386294361
1997659,1997,,2,1,2,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1.791759469
1997660,1997,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806
1997662,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997663,1997,,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1.098612289
1997664,1997,,2,1,2,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1.609437912
1997665,1997,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
1997666,1997,,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1.386294361
1997668,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997669,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6931471806
1997670,1997,,1,1,3,1,0,0,0,0,0,0,1,1,2,0,1,1,0,0,1.791759469
1997671,1997,,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
1997672,1997,,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
1997673,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
1997675,1997,,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1.386294361
1997676,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1997677,1997,,1,2,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1.609437912
1997678,1997,,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
1997679,1997,,1,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1.386294361
1997680,1997,,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1997681,1997,,2,0,1,3,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1.791759469
1997682,1997,,2,2,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1.609437912
1997683,1997,,1,3,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1.791759469
1997684,1997,,1,0,1,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1.386294361
1997685,1997,,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
1997686,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
1997687,1997,,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.098612289
1997688,1997,,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
1997689,1997,,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.098612289
1997690,1997,,1,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1.386294361
1997691,1997,,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1.609437912
1997692,1997,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6931471806
1997693,1997,,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.386294361
1997694,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997695,1997,,2,0,1,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1.609437912
1997696,1997,,2,1,2,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1.609437912
1997697,1997,,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.098612289
1997698,1997,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806
1997699,1997,,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1997700,1997,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1.386294361
1997701,1997,,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1.386294361
1997702,1997,,1,2,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1.609437912
1997703,1997,,1,2,1,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,1.609437912
1997704,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997705,1997,,1,1,3,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,1.791759469
1997707,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1997708,1997,,2,1,1,4,0,0,0,1,1,2,0,1,0,0,1,2,0,0,2.079441542
1997710,1997,,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1.386294361
1997711,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1997712,1997,,3,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1.791759469
1997713,1997,,2,0,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1.609437912
1997714,1997,,2,2,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1.791759469
1997715,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997716,1997,,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1.386294361
1997717,1997,,1,2,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1.609437912
1997719,1997,,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1.609437912
1997720,1997,,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1.609437912
1997721,1997,,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1.098612289
1997722,1997,,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1997723,1997,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.098612289
1997724,1997,,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
1997725,1997,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
1997726,1997,,1,2,2,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1.609437912
1997727,1997,,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
1997728,1997,,2,0,3,1,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1.791759469
1997729,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
1997730,1997,,2,4,3,0,1,0,1,0,0,0,3,1,1,1,1,0,0,0,2.197224577
1997731,1997,,3,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1.386294361
1997732,1997,,2,5,1,2,0,0,2,0,1,1,2,2,0,0,1,1,0,0,2.302585093
1997733,1997,,0,0,1,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1.386294361
1997734,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997735,1997,,1,0,1,3,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1.609437912
1997736,1997,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.098612289
1997737,1997,,2,0,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1.609437912
1997739,1997,,1,2,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1.609437912
1997740,1997,,2,3,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1.791759469
1997741,1997,,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.098612289
1997742,1997,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1997743,1997,,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.098612289
1997744,1997,,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
1997747,1997,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.098612289
1997749,1997,,3,1,2,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1.945910149
1997750,1997,,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1.386294361
1997751,1997,,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1.386294361
1997752,1997,,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1.386294361
1997753,1997,,1,1,2,2,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1.791759469
1997754,1997,,2,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1.609437912
1997756,1997,,2,0,2,2,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1.791759469
1997757,1997,,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1.609437912
1997759,1997,,1,2,1,2,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1.791759469
1997760,1997,,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
1997761,1997,,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.098612289
1997762,1997,,1,0,2,2,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1.609437912
